perception,LOC,C3,CBO,MPC,RFC,WMC,Readability,Avg-commit-size,number-changes,number-committors,persistance,number-fixes,avg.dev.scattering,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOC_type,LCOM5_type,WOC_type,WMCNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,isStatic_type,NOPA_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,is_controller,is_procedural,is_test,is_util,is_external
SEVERE,1038,0.07,19,0.48,8,43,0.09,4,158,3,2,9,0.64,1,8,2,64,4,7,19,56,13,169,5,1286,52,0.088627,0,0.965812,0.826087,229,31,280,2,7044,294,0,1,12,0,0,7,5,4,5,3,1,45,10,7,2,0,0,64,1,0,0,1,63,53,0,3,FALSE,FALSE,FALSE,TRUE,FALSE
SEVERE,963,0.37,21,0.49,10,41,0.03,10,124,5,3,14,0.65,1,5,24,26,2,25,35,21,35,529,6,1058,57,0.383333,0,0.948571,0.571429,64,1001,2415,4,33723,2606,0,2,25,0,8,2,2,2,33,0,0,12,9,1,4,0,0,26,0,0,0,0,26,20,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
SEVERE,1085,0.09,12,0.55,7,57,0.04,3,106,6,3,8,0.78,0,10,0,11,0,0,0,1,5,0,1,27,0,0.111111,0,0.9,0.090909,1,1001,2415,4,33723,2606,1,0,5,0,0,0,0,0,5,0,0,11,0,0,0,0,0,11,0,0,0,0,11,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
SEVERE,922,0.37,10,0.51,9,55,0.04,6,201,4,2,14,0.67,1,7,14,47,1,14,20,40,10,7,2,965,56,0.398671,1,0.917391,0.825,115,38,289,3,2130,306,0,0,10,0,0,4,2,2,6,2,0,40,3,4,0,0,0,47,0,0,0,0,47,39,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
SEVERE,1091,0.37,18,0.49,5,58,0.08,8,134,7,1,6,0.77,0,1,34,31,0,146,60,30,22,533,7,1858,76,0.428571,0,0.981818,0.875,72,119,332,1,4772,380,0,0,20,2,0,20,2,2,2,18,0,8,23,0,0,0,0,31,0,0,0,0,31,29,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
SEVERE,981,0.21,12,0.5,8,45,0.08,10,114,6,4,6,0.61,1,5,0,23,1,8,7,18,7,0,1,440,9,0.785714,1,0.779221,0.73913,38,16,299,6,7166,371,0,1,2,0,4,1,2,1,5,0,1,22,0,1,0,0,0,23,0,0,0,0,23,16,0,2,FALSE,FALSE,TRUE,FALSE,FALSE
SEVERE,970,0.34,18,0.55,8,48,0.03,7,77,3,3,10,0.84,0,0,0,3,0,0,0,3,8,0,1,38,0,1,0,1,0.272727,3,7,47,4,1194,47,0,8,0,0,0,8,3,3,0,5,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,3,FALSE,TRUE,TRUE,FALSE,FALSE
SEVERE,941,0.13,16,0.54,5,57,0.08,3,101,7,2,13,0.85,1,0,0,1,0,0,0,1,6,0,1,57,0,1,1,0,0.142857,1,7,47,4,1194,47,0,6,0,0,0,6,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
SEVERE,926,0.7,5,0.45,2,17,0.84,6,8,4,3,8,0.12,0,2,1,27,5,26,17,25,31,64,3,1014,39,0.490476,24,0.954094,0.933333,149,138,961,4,27590,1151,0,0,16,14,1,20,19,19,11,1,0,15,4,5,3,7,0,20,4,3,4,1,19,23,0,2,FALSE,FALSE,TRUE,FALSE,FALSE
SEVERE,962,0.05,16,0.43,6,44,0.07,9,114,6,2,11,0.88,0,6,0,7,0,0,0,1,6,0,1,53,0,0,0,1,0,1,66,754,5,10542,826,0,0,6,0,0,0,0,0,6,0,0,0,0,0,7,0,0,7,0,0,0,0,7,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
